offensive_language,tweet
5,@deadgrl_666 she can just fuckin call the venue about it and they'll cancel the lost tickets and reprint new ones what a dumb bitch
6,@equallydestruct lmao don't fight me you don't know my ghetto ass school dude I highly doubt that since I don't give a fuck about it
6,@espinosa_32 pussy pussy pussy
6,@espinosa_32 you're a bitch
6,@gabbella03 rt something else from another bitch in panties about love I swear
6,@gillbowski7 @MasiBlatnoy @DroBaby_ fuckkn hate when he fights. Being a big pussy all the time.
5,@grrizzIy @YUNGxSMBA the only place for a ho in the garden
6,@grrizzIy pudding it right in her pussy
6,@grrizzIy right in the fucking pussy
6,@iAM_tRoyal5 @Briscoefunnyguy @I_GotOne @_KaeeJones lmaoooo that hoe look like &#128058;
4,@iAM_tRoyal5 @Briscoefunnyguy @I_GotOne @_KaeeJones naw he should drop that bitch off in south Dallas with the rest of the homeless dogs
4,@iGivePussyCPR monkey &amp; his cigarette. He's dead serious &#128514;
6,@iLLEGALLYBadd my boy said this last night. I'll be in the gym Bc I refuse to be sloppy like these bad built bitches lol
5,@idclogan bad ass bitch!
6,@itskingdee @GorgeousCamry_ no ion gotta do a bitch ass thang if you dont like wtf im saying unfollow me
6,@janisjayy all the real gangsters knoww nate aint never loved no hoe
4,"@jerryrscuba Bare ass me again, I cunt hear you"
6,@johnwells__ fuck it hoes will be hoes.
5,@jrsmith12 @jaynovel let these hoes be great
6,"@jthomas309 @DestroTheNoble @nekolin &lt;&lt;&lt; Getting his ass pounded &amp; loving it! 
I'm done with this GAY whiney bitch. NEXT......"
5,@justinclark_5 oh I forgot you retarded lol lemme break it down for you where the BG hoes at lmao
6,@karlina_marie your pussy not mine &#128514; do you &#128526;
5,@keongetsbitches fag &#128155;
4,@kieffer_jason @sbsylvester then bring yo bitch ass to town east mall let me know when u there bitch!
4,@kieffer_jason u made me drive all the way to Plano then wanna bitch out
5,@kincade00 you owe me anyway hoe I need that with interest or shooting your shit up
5,@laser_beam26 text me fag
6,@lifeof_brandon text me bitch
6,@lilmenifee__ &#128514;&#128514;&#128514;&#128514;&#128514; yeah I read yo shit to fast bitch
6,@lilmenifee__ ohh bitch i gotta go fck with my girl my second lil family frfr
4,@lybr3 and yes.THAT was very ghetto and condescending ESPECIALLY after her miserably failed crappy school lunch initiative. The Hypocrite
6,"@marissarose_10 
Your mouth
Your pussy
Your ass
My dick
And a sandwich after we fuck.
What kinda question is that?"
6,@mauriokart wtf is ur tumblr bitch
6,@mchastain81 @TheWorldStories you fucked that bitch!
4,@mckinley719 fuck bitches get money
6,@moodym0lly back Atcha bitch!
5,@moyizzy naw negro
6,@puckluckbitch @RelaxVibes like I got time to be wasting on some bitch who broke up with me
6,@raider_level them hoes ain't thick at all u clowning
4,@rebellious_midy lls omg omg me too getting harrassed by my bby father smh on ig tlk bout hw mch he miss me bitch please
5,"@rilantis_1732 I was hoping you went with the Mr. Chow part on hangover 2. ""But did you die?"" Dumb bitch ass sloot!!"
6,@sayy_coneee bitch I texted you
6,@scronybitch @TryHardSilva no bitch
6,@seductiveally @sunstylesshinex oh now your bitch ass wants to reply back after 3 days bitch bye
6,@septemberTHA15 @CallMeRenee_ Wussup bitch
6,@shyhoof @umbralfox @Feyote Lamashtu has some great orgies but is a total bitch. lol : P
6,@slings_x_arrows Equality niggah
6,@slings_x_arrows bitches are gonna make it rain on me
5,@sorryimalex wake up you little bitch and follow me
4,@sotoo_dean We were supposed to work together today bitch
6,@tayisbaee those hoes aint loyal
6,@tayscalf if you ain't with someone you can still sleep around be a hoe and not the cheatin
6,@thickumms_x3 very wrong lmao this bitch literally tried to swallow someone in this movie
6,@tina16_ that bitch gonna get a rug burn
4,"@vampirrrra k, niggah do u evem shmoke"
9,@vampirrrra viva Brazil niggah lol
6,@xDSmooth eat pickles hoe
6,@xDSmooth follow back bitch
6,@xDSmooth these bitch been sayin they was leaving since 3
6,@xNikiaaa_ &#128557;&#128514; boa I'm trying see if that bitch was going or not . Me &amp; Vick stay agru about he don't get hoes&#128514;
6,"@yo_brandiiii @PennyTheGOAT 
plot twist: you have no penis.
Penny would make that bitch like a balloon. 
Balloons and bitches can all float"
7,A bitch like you need to get fucked right every night
6,"A dick has a sad life: His hair is a mess, his family is nuts, his neighbor's an asshole, his bestfriend's a pussy, &amp; his owner beats him.&#128514;&#128514;"
6,"A hoe gon be a hoe, that ain't a hunnid."
9,A hoe gone be a hoe they ain't &#128175;
5,"A real gangster ass nigga know the play, the real gangster ass niggas gets the flyest of the bitches, ask that gangster ass nigga little J"
8,"ALL HE NEEDS IS A SKIRT!!!
Sure looks like a bitch to me.
 http://t.co/89HH52pCUe&#8221;"
5,"AMERICAN GOVERNMENT PREACHES ""NO BULLYING""
Creating a new generation of pussies! http://t.co/fbGuCK7Wc1&#8221;"
7,Ain't fuckin wit nomore hoes got who I want &#128586;&#128564;&#128524;&#128143;&#128145;&#128175;
6,Ain't no pussy better than loyal pussy!
5,"Ain't nothing funnier then watching somebody live a complete different life on the internet I be like ""who this hoe think she foolin"""
4,All I wanted to do was get some hoes too :(
6,"All bitches do is graduate, get pregnant n become CNAs &#128557;&#128557;&#128557;&#128557;"
6,All d messy hoes sleep
6,All deses bitches know that you're my nigga.
6,All my hoes got money she in the mall she ballin bitch buy something for me
6,All of my money neat all of my bitches freaky everybody kno it IT AINT A SECRET
6,All the hoes I did have now they decided they wanted to be wifey type draya fuck all that up
6,All these bitches wanna fuck on a thug
6,All you bitches extra easy when yall drunk lol unless ur sober friends there to save youu
6,All your selfies are booty pics... Cause bitch you always look like ass
6,Am I really going to sit here and cry like a bitch....
9,"Amennn!!!!! ""@WomenLoveBrickz: If your girlfriend doesn't like that bitch, you don't talk to that bitch"""
5,"And I lick it after you clean it , eat pussy like a dyke but I fuck like a demon &#128545;&#128166;"
6,And I was like yeah bitch
5,And a hoe gon be a hoe regardless
6,And by YALL I mean.... Whoever running back telling tunchi wtf I'm doing that's not my nigga dog niggas nd bitches &#128175;
5,And da hoes!! RT @Pr3ttyN33: I kno u hear vodka n the background &#127908;
5,And don't come to my mf house honking ur damn horn. Get tf out the car &amp; ring my bell bitch.
6,"And gabby was steady walking off laughing, I'm like bitch really &#128548; , if she ever fall around me I'ma get in my car and leave her there"
6,And niccas are 38 HOT if they paid 20 bucks for that Pay-Per-View......
6,And you kno we the opposite of down bitch we up http://t.co/qkFYwnFZqu
6,"Another nigga hoe is another nigga problem.
@JoseGuapo been had hits."
6,Any pregnant bitches at centreville I should know about in about to move there next ... &#8212; Idk.. I dont go to cville http://t.co/Hq4Q6zfwjh
6,"As a girlfriend I'm NEVER getting close to my boyfriend friends , cause they can be telling me one thing , and telling these hoes another."
9,"As a girlfriend, you gotta accept the fact hoes gone be all up in his face. But as a boyfriend, he better let them hoes know wassup."
6,At the MLK march tryna find a man bitch we see U
6,Aye the part be treating the bitches too good &#128514;
4,Ayo!! @theofficialeg10 unblock me so i ca tell you how garbage yo bitch ass playing....
5,BRUH!! RT @coldhearted9_: Them ugly hoes say a nigga arrogant...
6,Baby girl your pussy looking so vacant....
6,Bad bitch on my line tryna give me brains
5,Bad bitch with me and you kno that her ass is fat
9,"Bad bitch, chest out......no wonder why Miss Righteous keeps on getting left out"
6,Bad bitches ain't cheap
6,Bad bitches an good weed
6,Bad bitches is the only thing that i like
6,Bad foreign bitch she a walkin Ferrari
5,Benzino is a bitch point blank period
4,Big G-Day s/o to @MauricePrice17 #FreeBoosie nicca lol!!!!!
6,"Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs , big ass , pretty face = hoe."
6,Biggie was and always will be the flyest cunt in rap. #biggie
5,Bitch bitch bitch
4,Bitch duck on whore ass slut cunt ha Biden it's Gucci. Tho whatever. Nigea @mdsaab1 @t_jawad89
5,Bitches be sounding damnear retarded on tbh videos &#128514;&#128514;&#128514; nbs
5,Bitches rather be petty with his hoes instead of posting bail now that ah really fck em up.....psa
4,Bitches so stupid!!! Yal can't know how I'm bouta start popping bitches
8,Bobby bitch
6,Boney ass bitch farting out mini basketballs &#128514;
6,Breaking yo bitch like a KitKat nigga
4,Bring a niggah some icecream
4,Bruh RT @share_ps4: He def wanted to call L Rock a nigger in that last RT LMAOOOOOOOOOOOOOOOOOOOOOOOOOOOO
6,"Bt dubz, ur best pals bitch about u to me quite often... #stoplivingafuckinglie #hatredisincreasing"
5,"But bitches are crazy, I'd be in jail for sure"
5,But you can't tell a broke bitch nothin &#128514;&#128514;&#128514; &#128056;&#9749;&#65039;
6,Called Eddie a hoe.... By mistake doe. Lol
6,"Calling these nasty hoes out! 
Mrs. Wells is too real&#128514;&#128514;&#128514; http://t.co/D4EnQkDswR"
5,Can you catch a box hoe
6,Can you let me stretch that pussy out or nah
5,"Can you really take dick or nah?
Can I bring another bitch or nah?"
5,Can't stand a nigga that curve his boys for some hoes
6,"Carter needs to shut the fuck up, fucking bitch ass always trying to start shit"
6,"Chase the pussy, it's a sin. Falls in ya lap, it's a blessing."
6,Cheese bitch chupacabra looking fuxk http://t.co/gWhNZ0JCb1
4,Chillin in the hood with my retarded ass homegirl. I feel at home.
4,Come her lil bitch I want that sloppy toppy
4,Correction: He better bring ONE classy bitch home because momma ain't going to be dealing with random hoes in the house ! &#128131;&#128131;&#128111;&#128581;
5,Craig fire that shit up hoe
5,"Cuh, this is our SCRUM&#9994; #FallSevens #DisTONGA #NiniWubbsMe We're finna smash some bitches&#128170;&#128079; #Rugby http://t.co/6VufVaO2ek"
4,Cute teen gets her pussy flooded with&#160;cum http://t.co/Jt6qxwS0Km
4,Cutler less skill at QB than a retarded quadriplegic
5,Dam i just gotta hope that niggah dont snitch
6,Dam this niggah trippin off ecstasy
5,Damn change change niccas
6,David is bitch made #HeIsMyBitch
5,David is my bitch
4,"Dear ugly hoes: Stop playing hard to get, you're already hard to want."
6,Denzel did his mf thang in his new movie boy I swear OML he played the shit outta that bitch had me in the movies ready to be a killer &#128526;&#128514;&#128514;&#128175;&#128588;
4,Dese niggaz on Dat guala shit....... http://t.co/qcrTA7H80x
9,Dirty pop on the counter bitch dirty in it
9,Doing her thang for you shoutout that real bitch
5,"Don't act all shy, bitch slop that up."
6,Don't be no bitch &amp; not speak when I initiate a friendly hello.
5,Don't blame me blame ya bitch can't help she want a nigga
6,Don't lose sleep bout these bitches bc they come and go &#128076;
7,Don't trust these hoes
9,Dont fuck wit broke bitches
6,Double tap and imma be honest hoe honest hoe &#128514;&#128514; http://t.co/T5iBbIGRUl
6,Driving the fucktardmobile - tranny slips and all. &#128530; http://t.co/8e3kXEgMjo
6,Drop it down for a niggah
4,Drunk inlove with my gun bae bitch Beyonc&#233; &#128520;
6,Dumb bitch
6,Dumb bitch don't know her colors &#128553;&#128553;&#128514;&#128514;&#128514;&#9996;&#65039;&#9996;&#65039;&#9996;&#65039;&#9996;&#65039;
4,EJ wanna be Michael Sam bitch so bad.
5,Eat so much pussy that my mustache pink &#128514;
5,Erica so desperate she bragging bout flawging ass Scrapy eating her pussy... wow he ur baby daddy dumb bitch I'm sure u gave he dome as well
4,"Especially that wee cunt that walks about tensing all the time lol, sup wae that shit? You are 5 foot fuck all. Tank my motherfucking arse"
6,"Every nigga can make a female act like a bitch.
#ThatsAFact"
6,Everybody fucking everybody bitch &#128588;&#128168;&#128168;&#9996;&#65039;&#128080;&#128079;&#128078;&#128581;everybody with the shit ....that's LIFE &#128165;&#128173;
6,Everybody got foreign bitches and foreign cars &#128564;&#128564;
6,Except dat Hazel nigga.. RT @KingHov1313: &#8220;@11wdNICK: I think all dem hoes on LAHHH regular....&#8221;&#128072;I know I can hit all of em too&#128553;
9,"Excuse me, here's your nose. I found it in my business hoe."
5,Eyebrows up and down like Wall Street homes... RT @Apex_Alpha95: RT @Nubie_C: Y'all bitches wilding with pencil &#128533; http://t.co/WxwRBeE0Ok
6,"Fat bitches Twitter names be "" PrincessCookieNeckBackCrack "" lmaoo &#128514;&#128514;&#128514;"
8,"Fat hoes on Twitter calling themselves Barbies, bitch you ain't no damn Barbie you a damn care bear."
6,Fck dem old hoes..... No double entree...
4,Finna favorite my last tweet so niccas will kno I been knew wassup
6,Finna get 86'd cause bitches in coming at me wrong
6,First of all you my type of bitch
5,First the white bitch wanna ask extra questions &amp; shit... &amp; be a lil bitch about everything with her skinny ass!
6,Flaw bitches. Flaw bitches everywhere.
6,Fly as a bitch on Aladdin rug
6,Follow ah bitch on ig tho 1inkkofrosess
5,For all you psychology bitches on your periods.. Do this to chill tf out http://t.co/W2n19vgBv3
5,For every hoe out there there's some nigga out there tryna save her and make turn her into a good woman...she jus keep ignoring his texts
9,Free Ballout lil bitch &#128520;&#128299;
5,Free bitch . We stay used yo hol yo each other cdfu &#128175;@Here4Timis__
6,Free lee bitch 1&#8419;3&#8419;1&#8419; 4L
6,Free lil cj bitch the wait is over ! #december8th
6,Free that hoe &#128175;
6,From that point should saw how I treated that bitch fucked her now lose my number I ain't answering shit
6,"Fuck all that Some bitches so disrespectful they don't care. They will talk , fuck , ya boyfriend and still speak to the girlfriend."
6,Fuck all these dirty hoes these bitches basic
4,Fuck around and get your honeybun took in that bitch with all that crying nigga!!
8,Fuck class gon be a bitch tomorrow
5,"Fuck fleeto like, id cut you cunts up :/"
6,Fuck her pussy &#127797;&#128049; fuck her mouth &#127797;&#128069; fuck her ass &#127797;&#128052; cause she nasty
6,Fuck her right in the pussy.
6,Fuck is Yall sayin bitch ma h456d love me &#128076;
6,Fuck that bitch
4,"Fuck that new bitch , that you think you found."
6,Fuck that niggah he so weak he cant tell that you a freak
5,Fuck the rockets and everything they get with d Howard bitch ass. Signed bitter laker fan. Lol
7,Fuck these hoes im gone &#9996;&#65039;
5,Fuck this fuckin bitch and her stupid analysis bullshit
5,"Fuck this mexican bitch she talks too much, she thinks she's an ivy league scholar."
6,Fucked the shit out yo bitch earlier she said she couldn't stand straight
5,Fuckin pussies passed out.
6,Fucking told all of you bitches. http://t.co/DiF6d6EYin
6,GTA online today bitch ass niggas
9,Gang gang bitch&#128165;&#128299;
6,Geeked out my mine I think this bitch done stole a 50
5,"Get a bitch, break a bitch"
5,"Get cunts to threaten me, not bothered. I'd happily hit up a big massive group ae third years or something hahaha. #dropkickkk"
6,Get on your mutha fucking shit hoe.
5,Get on your shit hoe.
6,"Ghetto ass bitches came in my job talm bout sum ""o yes u daddy down"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"
6,"Girl like 19 pics of mine on Instagram this morning while I was working, when I saw that I thought ""this bitch need a life"""
5,"Girls be like ""10/23/12 I love you babe &lt;3"" hoe isn't that today?"
4,Girls be looking for reasons to do hoe shit
5,"Girls be tripping with that ""you got hoes"" shit, I do know other girls that are my friends!"
4,"Give me 3 wishes, I wish, I wish, I wish you would bitch."
5,God bless the dumb niggas who trust these hoes
6,Going hard bitch swear I'm on my job throw a quake in the air call that shit a lob
4,"Good weed, bad bitch. Got these hoes on my dick like Brad Pitt."
6,Goodnight bitches (with a lisp)
7,"Got a new bitch and she got ass, lookin at my ex like yeah i know you mad"
6,Got another nigga's bitch in my bed right now
4,Got one bitch in economy and one bitch back in coach.
6,Got these hoes lurkin got these niggahs talkin
5,Gotta watch these hoes &#128064;
4,"HOT ISIS SOCIAL MEDIA PHOTO: Laughing Jihadis Get Baby To Kick Severed Head &#8211; ***warning, graphic*** http://t.co/7Zr8daxNg4 #tcot #pjnet"
5,"HYSTERICAL!! Calling BHO a monkey! #NorthKorea &lt; may be a bunch of assholes, but that comment made me belly laugh!!!"
6,Ha.. Who can get the pussy quicker these days
6,Had to get that hoe shit off my TL
6,Half these bitches be playin because but im far from a lamee
6,Happy birthday little bitch boy @Digo13Nieto &#128522;&#127881;&#127882;
4,Harvard got the worst hoes cheerleading in America
4,Hate when I'm in a girl city call her then she call back after I'm on the plane bitch FOH
6,"Hate when bitches tryna put you in the friendzone...bitch I'm tryna score, put me in the end-zone"
6,Hayfever is a cunt
5,"He could be right... any hoe they had in the 11wd, niggas from the hood RAN thru em...."
6,"He doesnt like you, ya stupid bitch. He likes ur vag. Idiot haha. #goingtogethurtagain"
6,He don't even follow his bitch &#128514;
6,"He got Channing Tatum as his bitch,I'm out"
7,He got a cousin named jason that rock da Gary Payton....now da same triflin' bitches an HIV patient
6,He has hickeys on him an its like yeah bitches that's mine and he's like not even trying to hide them. Makes me feel good about life.
4,He only favorites your tweet about him to keep his other hoes happy
6,"Hello, and to them bitches!!!!! ""@WitHaPrettyface: I just want him to keep them lies to his self..&#128524;&#128080;"""
6,Here we go this fat bitch started talking and now will never stop
6,"Highland BitchK . Them bitches stupid on Bloods , I'd fuck with Deja thoe &#128077;"
5,Hit me up with plans nigs
7,Hit me with plans mah nigs
5,Hoes always saying niggas hoes but they be the hoes &#128175;
5,Hoes always tryna say they look like a celebrity .... NO BITCH!!! You like the other hoe that love on krenshaw sit yo basic ass down
4,Hold up women leaving good men for some quotes they seen a nigga with no girl post on Instagram that he copied on google...u hoes crazy &#9996;&#65039;&#9996;&#65039;
5,How can I not take my style back from niccas when niccas was taking my style WAY before.....Preach @1future &#128175; #RNS
6,How come I won't pray but find time for a bitch
5,How do you photoshop yourself and still be ugly? That's like cheating on test and still failing... Be ashamed bitch!
5,How she stay faithful with a room full of hoes
6,How's work bitch @mdsaab1
5,I ain't Finna sleep bitch it's 8 o'clock when you finish noddin meet me at the top
6,"I ain't going to movies, hoe we straight sexing."
6,I aint mad at you bitches thats what hoes do
4,I already know Wilson gone hoe later on let me gone get my ammo
5,I beat the pussy up- yg
6,I been getting bitches my whole life I been getting money my whole life &#128526;&#128526;&#128526;
5,I been getting money I ain't worried bout a hoe
5,I been goin thru some shit from my niggas to my bitch they lookin like they wanna switch
5,I bent yo bitch over that's why you mad these niggas broke that's why I laugh
5,I can just set that hoe on fire &#128514;&#128514;&#128074;&#128080;&#128080;&#9996;&#65039;
6,I can neva count my stash cause I always lose count. I can neva keep no bitch cuz I put them hoes out
6,I can't argue with a bitch over a nigga...
6,I can't believe this nigga told me to put nutella on a bitch before you eat her out #wildnigga
5,"I can't stand this fat bitch next to me, with her hairy ass legs kiss imik"
6,I can't with this disrespect ass bitches
6,I copped a Uzi but I need some bullets for that bitch !
6,I coulda sworn I was the last bitch on tunchi ig &#128129;&#9996;&#65039;&#128536;
6,I curved yo bitch. Your welcome.
9,I did everything except trust these hoes
6,"I do know one thing though, bitches they come they go."
4,I don't fuck with these niggas cause they shady I don't fuck with these bitches all they want is to have my baby
5,I don't get what standing on Ya tip toes does for these pics these hoes be taking
6,I don't give a fuck about yo gal yo wifey or yo boo came here by myself bitch I'm Tryna bone
4,I don't have another face other than my bitch face. &#128139;&#128128;&#128148; http://t.co/lWHzwbQBZk
6,I don't like you bitch so &#128514;&#128514; &amp; I'm having a party all weekend my momma going out of town.
6,I don't love you hoes.
8,I dont fuck wit hoes or broke bitches
5,I dont know a niggah that could cover for me
6,I dream about having twin girls a lot yea karma I know it's you bitch
4,I feel like I should be sad and all that pussy shit but I am just so pissed right now idk what I'm feeling.
6,I feel like that niggah Pac these bitches set me up.
6,I fucked the shit out yo bitch yesterday til she couldn't stand straight she called me earlier asking could she come and get a replay
5,I fuckin hate this bitches voice OMG
6,I get gwop now that bitch remember me
6,"I got 99 problems and a bitch ain't one...
She's all 99, I think I need a sub machine gun #gratata"
5,I got bitches geekin sneaking cocaina cross the customs &#128131;
6,I got every reason to feel like I'm that bitch
6,I got no patience for hoes actin lame ima stop fuckin wit yo ass quick asl
6,I got no respect for hoe shit
6,I got some yard work i need done....you got me? RT @MidCityAce: Control your excitement sir... &#8220;@11wdNICK: Lets gooooo Teena bitch!!!&#8221;
6,I guess I just come off as a bitch to people &#128529;
6,"I had to tell a bitch, I WANT THE LOVEEEEE"
4,I hate a ol fat disgusting Walmart working ass bitch.....
4,"I hate when girls say ""I'm single but my heart is taken"" bitch, that nigga don't love you, hoe. Move on."
4,I just be fucking these bitches these niggas be cuffin these hoes
5,I just caught this fat bitch slippin taking a selfie
4,I just got so hype haha lets go!!!! Beat the shit out dat pussy ass niqqa
5,I just want the bad hoes and I wanna reach the children
6,I let hoes make it too much
6,I like saying the word pussy hoe ion no why!!!
5,I love Asian bitches
6,"I love faggots!!! Absolutely love them, especially the ones that can dress to the tea &#128525;&#128525;&#128129;"
5,I love fat bitches
6,I love flirting with money don't no other bitch get my time or my eye&#128527;&#128527;
6,"I love this bitch , he's dear to my heart."
6,I loved her as much and as long as I could ma niggah .
6,I make bitches fly like Peter Pan do
4,I miss Britt god damn bitch real nigga over here baby &#128129;&#128526;&#128588;&#128581;&#128175;&#128079;&#128584;
6,"I miss you being a wee cheeky cunt to me, sad times #missAbby"
4,"I must have pissed this nigga off aha um, because he my hoe &amp; he acting OUTTA line &#128514;&#128557;"
7,I need a bitch
5,I need a bitch to drop it down for me lol
6,I need a bitch to top me till I get sleepy &#128564;
9,I need me a real loyal ass bitch &#128525;&#128553;&#128530;&#128548;&#128175;
5,I pull up in a gimme yo bitch
5,"I really hate being a bitch to people, but at this point I no longer give a fuck"
5,I really hope you and Cameron don't get back together you can do so much better than that ... &#8212; dont call her a hoe http://t.co/npX7GLtMst
5,I really think ppl defending Cassidy throw on Hotel at the crib when bitches are comin over
6,"I remember when it was ""watch out for her, she has cooties!"" Now, it's ""stay away from that hoe, she has herpes."""
8,I see the same hoes
6,I should be in jail it's a crime hoe I kill these beats
6,I should be the only nigga my bitch texting right now&#128175;&#128175;&#128175;&#128175;&#128175;
5,I should've thrown a whole roll of pennies and made her month that bitch.
5,I slept good thenna bitch tho
6,I swear I needa go on n go back to the old me because bitches think its a game apparently. Let's be real !
6,I swear girls with good pussy think that's the answer to everything
5,I swear this hoe been following me ever since I went on break
4,I thincc I'm a pretty average bitch ya know &#128527;
6,I think you fuckin wit the wrong niggah
6,I want yo bitch I go get her I smashed er now she won't let up
6,I was gunna eat the pussy but I'm on a diet !
6,"I wish I could mute Rice Krispies, but instead them bitches ""Snap Crackling &amp; Popping..ain't that some shit."
6,I woke up in a bed full of bitches that I ain't even fuckin
6,I'll have these bitches havin baby's every week
5,"I'll stop drugs, alcohol, fags, sluts for you. Just give me a chance. It's been a year and I feel the same, that clearly means something."
6,I'm a lady bitch
4,I'm dat nigga that these hoes just can't stand... &#127926; B.G
6,I'm finna start slapping bitches
5,I'm flexing on niggas and they bitches
6,"I'm no pussy, but ur still a dick."
9,"I'm rich bitch 
*said in Dave Chappell voice*"
6,I'm so mother fucken sexy. I have no time to be a retard.
6,I'm such a bitch sometimes lol
6,I'm the gym looking at bitches booty #creeping &#9996;&#65039;
5,I'm with another nigga bitch &#128514;&#128514;
6,Idgaf about you regardless bitch you got me all day.
6,Idk how I have friends I'm so blunt and sarcastic people probably think I'm a raging bitch.
6,"If I become president, everybody's on lockdown. I'm gonna run this bitch like a penitentiary."
5,If I fuck a nigga bitch ima just record it an keep fuckin her til she play dumb then ima have to show him
5,"If I was stranded on a desert island and I could only bring 1 thing, I would bring Dora. That hoe has everything in that backpack."
5,If a nigga in nap can fuck my bitch that mean she lame for fuckin a lame.... All deez niggas here corny asl
5,If i fucked her i know every niggah want her.
6,If u ain't fucking u ain't sucking wat u Doin hoe &#128572;
5,"If ur bitch starts fukin yappin tae, ill make sure i break something vital. Warning: call polis with hazard that results in permanent damage"
8,If you ask me every bitch gay
6,If you attractive people just gone up and assume you got hoes
6,If you balling buy yo bitch somethin
4,If you can't turn Instagram likes/follows into some real life shit #trash
6,"If you don't know what yo bitch doing tuat ain't you bitch, Im just sayin."
6,If you not lickin toes you a basic bitch.. And I can't fuck with a basic bitch
4,"If you single, just start hitting up those hoes. &#128524; &#128129;"
6,If you slow down for a puddle you're a bitch
5,If you was a bitch nigga in 2013 you still Gona be a bitch nigga in 2014 &#128175;&#128175;
4,Im a Single bitch on this Money shit &#128175;&#128184;
6,Im a south side niggah fuck around fuck around
6,"Im ice cube, u can call me the grinch. i got ur list but i aint giving u shit, bitch."
5,Im in a full suit bow tie and all at a restaurant &amp; called my frat a bitch ass nigga.Caught myself Bc Im around white ppl staring at me lol
5,"Im just a young niggah out here chasing ins, til im in the driver seat of my benz"
8,Im only cocky to hoes hmmm i wonder why prolyy cuz i dont fuck wit yall
5,Im start askin dese hoe niggas if they got sand in they pussy....
6,Im the niggah she really wanna ride wit
6,Im tired of these bitches actin like they loyal lol
6,"Im way out of your league hoe, please excuse my ego"
6,Ima pull up eat on that pussy and dip &#128525;
5,Ima side bitch from time to time and I stay in my place
5,Imma get home around 0300 problem is it's a coon leaving the bar that drank 7 shots of crown royal think he still can drive
4,In my opinion every bitch gay.
4,In reality lame niggas and corny niggas get bitches bc it's sooo many of dem niggas nbs lol
4,Is this retarded bitch really this stupid?
5,"It ain't nothing like chasing money cause you have a purpose, but chasing these hoes for what? 
*Vice Versa*"
5,It seem like Cory talked to 75% of all indianapolis hoes &#128514;&#128514;&#128514; nbs
5,"It wus yo fat ass that filled out the application to work there, not me bitch....."
5,It's Some hoes out here tonite &amp; I got Shawty wit me
5,It's a recession on everything RT @cindielu Chasing pussy is never attractive!
6,It's fact that a male brain cannot always hear the high pitched voice of a women.. So bitch don't get mad..I really didn't hear you!!
5,"It's one thing to be a hoe, but a ratchet hoe? Bitch please, take a seat --&gt; _/"
6,It's summer bitches.
6,"Its a problem, bitch ya better follow me.... I give ya this dick you then won the lottery....."
6,Its crazy hoe we all ken folks im talking all my friends is my family
6,Jay-Z got 1 of the baddest EVA that proves men don't really need to look good to pull these hoes want security
4,Jenna played the Weeknd &amp; Mac just looked at us like theeeese bitches..
6,Juicy J can't say no to ratchet pussy remember?
6,"Just cuz he looked at you doesn't mean he likes you, hoe"
6,Just might fuck yo main bitch. Dats just how I feel &#128520; http://t.co/oodbPTGV1n
6,"Just passed my ex's neighborhood and came across the thought that, in the end, I was the side bitch."
6,"Karma a bitch, but she can't figure me out with the shit im doing.."
4,Karma is a bitch? Well just make sure that bitch is beautiful..
4,"Karma is the worst bitch, remember that"
4,Karmas a bitch
6,Kids a bitch
4,"Kierstens a bitch. Squid hands, squid hands&#128025;"
6,"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch."
6,Kyles a bitch
6,Late night studio sessions.....bitch I got that work!!!!!!!!brickk.ent. ya bitch...ycg.night life http://t.co/ZRBdumJqu8
6,Leap tall hoes in a single bound.
6,Lebron Warm up jacket full then a bitch
6,Let them hoes be greatRT @keyawnagallatin: Y'all bitches be really reaching for the side-titty look
6,Lex Steele I know y'all know him he been knocking hoes off for years and moaning in the process http://t.co/iz75peY71Z
6,Life aint nuthin but bitches and money #icecube #nwa
6,Life aint shit but bitches and money
6,Like bitch you're a man. That means You don't show fear or pain. You be strong when others can't.
5,Lil bitch
5,Lil bitch with enough ass &amp;&amp; a future &#128525;&#128536;
6,Lmao bitches is crazy...after reading the first sentence to yaself jus see how dumb you sound... #ASideBitchMadeThis http://t.co/PkvTaScEcV
5,"Lmao drake is on some bullshit with Serena Williams, wallah she looks like a tranny"
6,Lmaoo man this bitch thinks she's so intelligent.
6,Lmfaoooooo RT @TooDopeForLife: LMFAOOOOOOOPOOOOOO RT @DJKayyOhh: &#8220;here come yo bitch ass auntie&#8221; http://t.co/e5KlLhp0CV
4,Lol I never understood retards who use the atm and pay a $2 fee to get $20 and put it in gas so the don't pay the credit price -_-
6,"Lol Sam said ""Betty Boop"" is a hoe &#128514;"
6,Lol bitch
5,Lol shawty at sheets gave me her number haha I throw tht shit in trash outside
6,"Lol, what I look like waiting on another nigga bitch.&#128514;&#128514;&#128514;"
4,"Look at them hoes, man fuck them hoes niggah lets get smoked"
5,Look at you lying ass bitches couldn't finish school stripping on ya mind ass bitches
6,Lowkey got a Fan of my hoop skills at lbcc aha he my niggah now lol
5,Loyal pussy forever bein better than the bitch thats been passed around.
